Constellation,Star Name,RA (hh:mm:ss),Dec (dd:mm:ss),Magnitude,Spectral Type,Binary / Cluster Membership,Pitch_Hz,Pan,Loudness,Timbre,Extra_Layers,Mood_Tag,File,Mythic Identity Summary,Emotion Code,Tempo (BPM),Suggested Instrument Set
Orion,Saiph,05:47:45,-09:40:11,2.06,,,,,,,,,,,,
Orion,Mintaka,05:32:00,-00:17:57,2.23,,,,,,,,,,,,
Orion,Meissa,05:35:08,+09:56:03,3.39,,,,,,,,,,,,
Orion,Hatysa,05:35:26,-05:54:36,2.77,,,,,,,,,,,,
Orion,Tabit,04:49:50,+06:57:41,3.19,,,,,,,,,,,,
Scorpius,Acrab,16:05:26,-19:48:20,2.62,,,,,,,,,,,,
Scorpius,Larawag,16:50:10,-34:17:36,2.29,,,,,,,,,,,,
Scorpius,Lesath,17:30:46,-37:17:45,2.7,,,,,,,,,,,,
Scorpius,Girtab,17:42:29,-39:01:48,2.39,,,,,,,,,,,,
Scorpius,Fang,15:58:51,-26:06:51,2.89,,,,,,,,,,,,
Scorpius,Iclil,15:56:53,-29:12:50,3.87,,,,,,,,,,,,
Scorpius,Paikauhale,16:21:11,-25:35:34,2.9,,,,,,,,,,,,
Scorpius,Alniyat,16:35:53,-28:12:58,2.82,,,,,,,,,,,,
Scorpius,Jabbah,16:15:37,-19:21:37,4.0,,,,,,,,,,,,
Leo,Adhafera,10:16:41,+23:25:02,3.44,,,,,,,,,,,,
Leo,Rasalas,09:52:45,+26:00:25,3.88,,,,,,,,,,,,
Leo,Chertan,11:14:14,+15:25:46,3.33,,,,,,,,,,,,
Taurus,Ain,04:28:37,+19:10:50,3.53,,,,,,,,,,,,
Taurus,Hyadum I,04:19:48,+15:37:39,3.65,,,,,,,,,,,,
Taurus,Atlas,03:49:10,+24:03:12,3.63,,,,,,,,,,,,
Taurus,Electra,03:44:53,+24:06:48,3.7,,,,,,,,,,,,
Taurus,Maia,03:45:50,+24:22:05,3.87,,,,,,,,,,,,
Taurus,Taygeta,03:45:12,+24:28:02,4.3,,,,,,,,,,,,
Taurus,Merope,03:46:20,+23:56:54,4.14,,,,,,,,,,,,
Libra,Zubenelhakrabi,15:04:04,-25:16:55,3.25,,,,,,,,,,,,
Gemini,Mebsuta,06:43:56,+25:07:52,3.06,,,,,,,,,,,,
Gemini,Tejat,06:22:58,+22:30:49,2.87,,,,,,,,,,,,
Gemini,Wasat,07:20:07,+21:58:56,3.5,,,,,,,,,,,,
Gemini,Propus,06:14:53,+22:30:24,3.31,,,,,,,,,,,,
Andromeda,Adhil,01:22:20,+45:31:44,4.87,,,,,,,,,,,,
Andromeda,Delta Andromedae,00:39:20,+30:51:40,3.27,,,,,,,,,,,,
Perseus,Menkib,03:58:58,+35:47:28,3.98,,,,,,,,,,,,
Perseus,Misam,03:09:30,+44:51:28,3.79,,,,,,,,,,,,
Cygnus,Gienah,20:46:13,+33:58:13,2.48,,,,,,,,,,,,
Cygnus,Fawaris,19:44:58,+45:07:51,2.87,,,,,,,,,,,,
Aquila,Okab,19:05:24,+13:51:48,2.99,,,,,,,,,,,,
Aquila,Bezek,19:01:26,+15:04:08,4.38,,,,,,,,,,,,
Lyra,Aladfar,19:13:45,+39:08:46,4.4,,,,,,,,,,,,
Lyra,Alathfar,18:24:14,+39:30:17,5.12,,,,,,,,,,,,
Cassiopeia,Tsih,00:56:43,+60:43:00,2.15,,,,,,,,,,,,
Cassiopeia,Segin,01:54:24,+63:40:12,3.35,,,,,,,,,,,,
Virgo,Auva,12:55:36,+03:23:51,3.38,,,,,,,,,,,,
Virgo,Vindemiatrix,13:02:11,+10:57:33,2.85,,,,,,,,,,,,
